User ID,Order ID,Order Status,Merchant,subtotal,tax,fees,promotion,order datetime,delivery datetime,Cancellation reason,NPS,Commission Rate,Is Split Order,Is Manual Reload,Delivery Attempts,Num Items
A83RU,DX61FHHZ,Successful,The Tipsy Artichoke,55.33,3.18,13.29,5.0,2023-01-01 10:38:00,2023-01-01 10:48:18.147106710,,8,0.17,False,False,1,5
7S55J,B0MDD0HT,Cancelled by Merchant,Hearthstone House,58.64,3.37,11.79,5.0,2023-01-01 10:45:00,2023-01-01 10:52:30.610931208,Weather Downtime,6,0.17,False,False,1,5
0VA0S,UX3BEKID,Successful,The Tipsy Artichoke,67.27,3.87,15.08,5.0,2023-01-01 10:51:00,2023-01-01 11:11:06.148006836,,7,0.17,False,False,1,7
3ZSMV,L0O7DSRL,Successful,Zest,7.49,0.43,6.11,5.0,2023-01-01 10:58:00,2023-01-01 11:23:31.742765160,,8,0.12,False,False,1,1
IA38K,NCYAL07S,Successful,Zest,7.5,0.43,6.11,5.0,2023-01-01 10:59:00,2023-01-01 11:06:00.000000000,,9,0.12,False,False,1,1
DS1EE,APIAR88D,Successful,Vellum,37.84,2.18,7.67,5.0,2023-01-01 11:09:00,2023-01-01 11:24:42.638727132,,10,0.17,True,False,1,4
XC0PA,M7Q2B7I5,Successful,Fork in the Road,40.06,2.3,8.0,5.0,2023-01-01 11:11:00,2023-01-01 11:31:24.713976120,,9,0.17,False,False,1,4
WEDBC,TDVYVJDO,Successful,Hearthstone House,43.52,2.5,9.52,5.0,2023-01-01 11:26:00,2023-01-01 11:45:00.266392902,,7,0.17,False,False,1,5
1OV5V,JIR09SO4,Successful,Aura & Ash,8.31,0.48,3.24,5.0,2023-01-01 11:38:00,2023-01-01 11:50:14.579095980,,10,0.2,False,False,1,1
4KL8C,LGJVMRUE,Successful,Hearthstone House,61.0,3.51,12.14,5.0,2023-01-01 11:54:00,2023-01-01 12:10:50.432307948,,7,0.17,False,False,1,6
XP0JF,73AEEP2R,Successful,Vellum,30.29,1.74,6.53,5.0,2023-01-01 11:59:00,2023-01-01 12:25:07.969198422,,9,0.17,False,False,3,3
Q8WHT,M4RN5HOG,Successful,Salt & Spectacle,55.62,3.2,10.33,5.0,2023-01-01 12:10:00,2023-01-01 12:20:41.896893918,,8,0.2,False,False,1,4
UEUGW,UASMCJ2J,Successful,The Copper Kettle,16.88,0.97,4.52,5.0,2023-01-01 12:13:00,2023-01-01 12:48:46.892294904,,7,0.12,False,False,1,2
IWI08,Y1ZY6N78,Successful,The Copper Kettle,22.88,1.32,5.42,5.0,2023-01-01 12:13:00,2023-01-01 12:21:12.938674308,,10,0.12,False,False,1,3
3Q7GK,B07MKL61,Successful,Kindle & Cane,19.05,1.1,4.85,5.0,2023-01-01 12:27:00,2023-01-01 12:52:45.700624296,,8,0.17,False,False,1,2
O37U9,XOMS9JBT,Successful,Obsidian Kitchen,52.03,2.99,10.79,5.0,2023-01-01 12:33:00,2023-01-01 12:49:53.679949914,,9,0.17,False,False,1,6
0WHS1,D8VU7JCS,Successful,Marrow,15.48,0.89,4.31,5.0,2023-01-01 12:44:00,2023-01-01 13:03:04.156332558,,5,0.2,False,False,1,2
CITUF,2HSPUDWD,Successful,The Willow Snug,23.17,1.33,8.47,5.0,2023-01-01 12:53:00,2023-01-01 13:03:30.000000000,,8,0.2,False,False,1,2
XSFH4,U3YVM2NS,Successful,Brine,51.02,2.93,12.64,5.0,2023-01-01 12:53:00,2023-01-01 13:22:49.052257026,,7,0.17,False,True,1,4
VBV1J,RSLNMMWD,Successful,Vellum,29.73,1.71,6.45,5.0,2023-01-01 12:58:00,2023-01-01 13:08:18.502529574,,7,0.17,False,False,1,2
PU5WH,O4DFCLEL,Successful,Crust,12.38,0.71,6.85,5.0,2023-01-01 13:43:00,2023-01-01 13:59:11.998717560,,9,0.2,False,False,1,1
AQS3T,T7T2BO65,Cancelled by Zipline,Aura & Ash,7.91,0.45,3.18,5.0,2023-01-01 13:50:00,2023-01-01 14:10:48.702593856,Weather Downtime,7,0.2,False,False,1,1
U7ZQJ,GR128TEI,Successful,Hearthstone House,9.83,0.57,6.46,5.0,2023-01-01 14:00:00,2023-01-01 14:54:02.058858420,,6,0.2,False,True,1,1
M89I9,II3HCVQV,Successful,Vellum,20.65,1.19,5.09,5.0,2023-01-01 14:01:00,2023-01-01 14:14:45.927138570,,10,0.17,False,False,1,3
GDTGC,FMD6XKHR,Successful,Vellum,26.86,1.54,6.02,5.0,2023-01-01 14:10:00,2023-01-01 14:26:52.189543452,,8,0.17,False,False,1,2
A73JG,010D5XJQ,Successful,Salt & Spectacle,69.17,3.98,12.37,5.0,2023-01-01 15:00:00,2023-01-01 15:20:13.639208142,,8,0.2,False,False,1,5
UPFLN,V0QR15SJ,Successful,Vellum,20.75,1.19,5.1,5.0,2023-01-01 15:10:00,2023-01-01 15:27:25.817329674,,8,0.17,False,False,1,2
TOTHL,P1EC2HQL,Successful,Vellum,31.41,1.81,6.7,5.0,2023-01-01 15:11:00,2023-01-01 15:22:14.323739064,,10,0.17,False,False,1,3
LK7YB,QLUDKEZH,Successful,Vellum,39.62,2.28,7.93,5.0,2023-01-01 15:17:00,2023-01-01 15:51:33.516705060,,7,0.17,False,False,1,3
B8INN,ZB6UUZI1,Successful,Marrow,22.2,1.28,5.32,5.0,2023-01-01 15:37:00,2023-01-01 15:56:35.374025526,,4,0.2,False,False,1,3
F74RQ,89PV8MRU,Successful,Aura & Ash,8.83,0.51,3.31,5.0,2023-01-01 15:47:00,2023-01-01 16:07:46.889678718,,9,0.2,False,False,1,1
NOQ37,69O1Q21J,Successful,Noodle Theory,42.77,2.46,8.41,5.0,2023-01-01 16:14:00,2023-01-01 16:36:07.913993604,,5,0.17,False,False,1,5
JK31D,44O4ZGN4,Successful,Flux,12.28,0.71,4.83,5.0,2023-01-01 16:16:00,2023-01-01 16:28:08.816062326,,10,0.12,False,False,1,2
AZQ4X,G34OSF1U,Successful,The Gilded Root,72.19,4.15,13.82,5.0,2023-01-01 16:17:00,2023-01-01 16:58:39.712701846,,8,0.2,False,False,1,8
ZSXPE,C1QBH5GV,Successful,Noodle Theory,50.37,2.9,9.55,5.0,2023-01-01 16:21:00,2023-01-01 16:49:07.971454392,,8,0.17,False,False,1,4
10F7I,CVETE062,Successful,Sage & Stone,6.4,0.37,5.95,5.0,2023-01-01 16:23:00,2023-01-01 16:30:00.000000000,,9,0.2,False,False,1,1
OEGI3,NBIL8B5L,Successful,Kindle & Cane,15.92,0.92,4.38,5.0,2023-01-01 16:23:00,2023-01-01 16:42:05.068343106,,9,0.17,False,False,1,1
YPE4C,KF6HIWZ9,Successful,Fork in the Road,15.69,0.9,4.34,5.0,2023-01-01 16:53:00,2023-01-01 17:05:01.115878968,,8,0.2,True,False,1,1
A1N3I,35BDLHTY,Successful,Sage & Stone,9.01,0.52,6.34,5.0,2023-01-01 17:00:00,2023-01-01 17:07:25.824912306,,7,0.2,False,False,1,1
5OL5U,VRJQAYZM,Successful,Hearthstone House,81.27,4.67,15.18,5.0,2023-01-01 17:14:00,2023-01-01 17:40:31.792479336,,7,0.17,False,False,1,8
8F3GR,THW9P0IE,Successful,Hearthstone House,65.15,3.75,12.76,5.0,2023-01-01 17:20:00,2023-01-01 17:31:13.553200380,,10,0.17,False,False,1,5
ERZ1V,VMB9KZYX,Successful,The Willow Snug,21.94,1.26,8.28,5.0,2023-01-01 17:25:00,2023-01-01 17:53:07.478933634,,5,0.2,False,False,1,2
N717Y,2E63Z1A2,Successful,Noodle Theory,68.17,3.92,12.22,5.0,2023-01-01 17:32:00,2023-01-01 18:11:04.247983578,,7,0.17,False,False,1,5
Q7RZA,DK6R9BSL,Successful,Brine,13.67,0.79,4.04,5.0,2023-01-01 17:37:00,2023-01-01 17:51:34.027100472,,9,0.2,False,True,1,2
2C9OG,17NQGFXR,Cancelled by Zipline,The Willow Snug,22.11,1.27,8.31,5.0,2023-01-01 17:40:00,2023-01-01 18:07:58.093153848,Weather Downtime,8,0.2,False,False,1,2
7FR91,3663XRO8,Successful,Salt & Spectacle,70.85,4.07,12.62,5.0,2023-01-01 17:56:00,2023-01-01 18:07:42.008027178,,9,0.2,False,False,1,6
N3W9H,MH3LR1U6,Successful,The Tipsy Artichoke,47.95,2.76,12.18,5.0,2023-01-01 18:00:00,2023-01-01 18:28:33.521959998,,8,0.17,False,False,1,5
17RMP,XAH6IX4R,Successful,Flux,16.55,0.95,5.47,5.0,2023-01-01 18:11:00,2023-01-01 18:26:00.969554922,,9,0.12,False,False,1,2
6D3CV,CBYU97S2,Successful,Obsidian Kitchen,43.65,2.51,9.54,5.0,2023-01-01 18:14:00,2023-01-01 18:35:30.883535910,,9,0.17,False,False,1,3
JIGLG,C1UFGZ1S,Successful,Brine,10.59,0.61,6.58,5.0,2023-01-01 18:18:00,2023-01-01 18:52:54.440887422,,6,0.2,True,True,1,2
H3O0S,06N3CIHM,Successful,The Tipsy Artichoke,26.07,1.5,8.9,5.0,2023-01-01 18:22:00,2023-01-01 18:29:00.000000000,,10,0.17,False,False,1,2
IPAXN,EFVBREVR,Successful,Brine,25.3,1.45,5.79,5.0,2023-01-01 18:22:00,2023-01-01 18:33:40.470284262,,10,0.2,False,False,1,3
I0HN3,WTJQ42WN,Successful,Aura & Ash,9.01,0.52,3.34,5.0,2023-01-01 18:27:00,2023-01-01 18:42:05.017792752,,7,0.2,False,False,1,1
7GDE7,3NFZOD7E,Successful,The Gilded Root,64.09,3.69,12.6,5.0,2023-01-01 18:30:00,2023-01-01 18:56:17.532111000,,9,0.2,False,False,1,7
HKPJ7,PP3FZMSN,Successful,Hearthstone House,39.69,2.28,8.94,5.0,2023-01-01 18:32:00,2023-01-01 18:54:22.163348634,,8,0.17,False,False,1,3
S2GY9,7F43SUO7,Successful,The Tipsy Artichoke,67.22,3.87,15.07,5.0,2023-01-01 18:34:00,2023-01-01 19:04:16.651480986,,8,0.17,False,False,1,7
DSAV9,E7VLV28W,Successful,Marrow,25.53,1.47,5.82,5.0,2023-01-01 18:41:00,2023-01-01 18:57:59.537817864,,5,0.2,True,False,1,3
0VMPQ,OCYC3DAD,Cancelled by Zipline,Vellum,30.62,1.76,6.58,5.0,2023-01-01 18:45:00,2023-01-01 18:59:52.021279362,Service Downtime,8,0.17,False,False,1,2
JKIBU,6OTMFZIO,Successful,The Tipsy Artichoke,60.81,3.5,14.11,5.0,2023-01-01 18:47:00,2023-01-01 19:15:48.892001328,,7,0.17,False,False,1,5
UY4SA,JQI9JP55,Successful,Hearthstone House,15.9,0.91,4.37,5.0,2023-01-01 18:47:00,2023-01-01 19:16:12.534833538,,4,0.2,True,False,1,1
S6R6B,TQ5DYV49,Successful,Flux,20.18,1.16,6.02,5.0,2023-01-01 18:51:00,2023-01-01 18:58:01.591264326,,10,0.12,False,False,1,2
FVTAC,RTI33IJV,Successful,Fork in the Road,11.94,0.69,6.78,5.0,2023-01-01 18:54:00,2023-01-01 19:01:00.000000000,,7,0.2,True,False,1,1
8AKV3,1LCTFCG1,Successful,Sage & Stone,9.39,0.54,6.4,5.0,2023-01-01 19:01:00,2023-01-01 19:13:52.657367544,,8,0.2,False,False,1,1
7Y4XB,R7DMDZ6X,Cancelled by Merchant,Hearthstone House,26.11,1.5,8.91,5.0,2023-01-01 19:06:00,2023-01-01 19:38:30.443309381,Merchant Not Accepting Orders,6,0.17,True,False,1,3
02JYV,AXGGEIEA,Successful,Aura & Ash,6.43,0.37,2.95,5.0,2023-01-01 19:09:00,2023-01-01 19:30:28.214312778,,7,0.2,False,False,1,1
D0NX5,GY2T9XXK,Successful,Fork in the Road,51.38,2.95,10.7,5.0,2023-01-01 19:10:00,2023-01-01 19:20:31.289912580,,8,0.17,True,False,1,5
HYOU5,FKRXXWFM,Successful,The Copper Kettle,12.32,0.71,3.84,5.0,2023-01-01 19:15:00,2023-01-01 19:37:54.899954382,,9,0.12,False,False,1,2
2J7Q4,0BVJ0VNG,Cancelled by Merchant,Flux,21.26,1.22,6.18,5.0,2023-01-01 19:15:00,2023-01-01 19:33:39.133743942,Service Downtime,8,0.12,False,False,1,1
TRKY8,RHZGZX41,Successful,Crust,9.57,0.55,6.43,5.0,2023-01-01 19:17:00,2023-01-01 19:26:34.603023732,,9,0.2,False,False,1,1
453KF,TWDXSDC4,Successful,Marrow,19.3,1.11,4.89,5.0,2023-01-01 19:17:00,2023-01-01 19:35:15.638227098,,5,0.2,False,False,1,1
OR9F5,USCWAAW2,Successful,Sage & Stone,11.48,0.66,6.71,5.0,2023-01-01 19:18:00,2023-01-01 19:25:00.000000000,,10,0.2,False,False,1,2
04AJM,3QAXXT5N,Successful,Aura & Ash,9.43,0.54,3.4,5.0,2023-01-01 19:21:00,2023-01-01 19:30:03.959922138,,8,0.2,False,False,1,1
820PS,HIF5VNVG,Successful,The Willow Snug,31.23,1.8,9.67,5.0,2023-01-01 19:24:00,2023-01-01 19:34:30.000000000,,6,0.2,False,False,1,4
5EOL0,7L577MBS,Successful,Fork in the Road,11.62,0.67,6.73,5.0,2023-01-01 19:35:00,2023-01-01 19:42:35.305128168,,7,0.2,True,False,1,1
EGQTO,D3VIGT6D,Successful,The Gilded Root,55.33,3.18,11.29,5.0,2023-01-01 19:35:00,2023-01-01 20:32:07.095867990,,5,0.2,False,False,1,5
CTW68,8P6U5PS4,Successful,Sage & Stone,8.65,0.5,6.29,5.0,2023-01-01 19:38:00,2023-01-01 19:51:27.795630900,,9,0.2,False,False,1,1
TNBS5,K9Z8U34I,Successful,Obsidian Kitchen,44.98,2.59,9.74,5.0,2023-01-01 19:40:00,2023-01-01 19:47:00.000000000,,10,0.17,False,False,1,5
GCRKF,PYVRV3ZO,Successful,Aura & Ash,10.87,0.63,3.62,5.0,2023-01-01 19:42:00,2023-01-01 20:02:16.475207382,,10,0.2,False,False,1,2
Y8FV2,N1XA9R0U,Successful,Sage & Stone,8.95,0.51,6.33,5.0,2023-01-01 19:44:00,2023-01-01 20:03:00.580269078,,10,0.2,False,False,1,1
H1M3J,N63B056D,Successful,Noodle Theory,65.9,3.79,11.87,5.0,2023-01-01 19:48:00,2023-01-01 20:15:09.886723818,,8,0.17,False,False,1,6
N0CL5,3BSY3ONX,Successful,Fork in the Road,29.51,1.7,6.42,5.0,2023-01-01 19:49:00,2023-01-01 19:59:37.617133908,,7,0.17,False,False,1,1
V4QQJ,77JWATFJ,Successful,Aura & Ash,9.84,0.57,3.47,5.0,2023-01-01 19:49:00,2023-01-01 20:11:27.099563574,,7,0.2,False,False,1,1
PN9FD,ST5JJ6GE,Successful,The Copper Kettle,20.46,1.18,5.06,5.0,2023-01-01 19:54:00,2023-01-01 20:03:29.889614496,,10,0.12,False,False,1,3
JN6OC,XHRMF6M8,Successful,Flux,19.39,1.11,5.9,5.0,2023-01-01 20:26:00,2023-01-01 20:50:27.283741464,,7,0.12,False,False,1,1
KERTQ,I2ZG884B,Successful,Noodle Theory,58.05,3.34,10.7,5.0,2023-01-01 20:28:00,2023-01-01 21:06:23.334255132,,5,0.17,False,False,1,6
XC0PA,BY8NHQ4H,Successful,Obsidian Kitchen,77.76,4.47,14.65,0.0,2023-01-01 20:30:00,2023-01-01 20:45:55.489360878,,9,0.17,False,False,1,8
HRLNF,DE0ZKKSS,Successful,Fork in the Road,11.08,0.64,6.65,5.0,2023-01-01 20:31:00,2023-01-01 20:38:54.463826328,,10,0.2,True,False,1,2
D7V91,AG3LXHGO,Successful,Noodle Theory,59.66,3.43,10.94,5.0,2023-01-01 20:37:00,2023-01-01 21:13:50.684601444,,6,0.17,False,False,1,5
Y5DNW,URM0P0E2,Successful,Noodle Theory,63.66,3.66,11.54,5.0,2023-01-01 20:44:00,2023-01-01 21:02:25.472657328,,7,0.17,False,False,1,5
BH4VS,FP3OHIUY,Successful,The Gilded Root,53.81,3.09,11.06,5.0,2023-01-01 20:49:00,2023-01-01 21:17:17.631556272,,7,0.2,False,False,1,6
39PEC,A90DS1BH,Successful,Hearthstone House,44.4,2.55,9.65,5.0,2023-01-01 20:57:00,2023-01-01 21:20:13.718435130,,7,0.17,False,False,1,4
Y1QNQ,QVMPNKN1,Successful,Hearthstone House,21.79,1.25,6.26,5.0,2023-01-01 21:08:00,2023-01-01 21:18:58.204355136,,8,0.17,False,False,1,2
FS7I1,27CGLBVC,Successful,Brine,11.8,0.68,3.76,5.0,2023-01-01 21:28:00,2023-01-01 22:16:04.751624868,,6,0.2,False,False,1,1
J85GG,ZZSFZ2ZR,Cancelled by Zipline,Marrow,22.99,1.32,5.44,5.0,2023-01-01 21:39:00,2023-01-01 22:03:07.902123210,Service Downtime,4,0.2,False,False,1,3
4ORAC,UWM1I6MA,Successful,Brine,21.48,1.24,5.21,5.0,2023-01-01 21:49:00,2023-01-01 22:00:45.547309848,,8,0.2,False,False,1,1
PW26R,QUBVMLY3,Successful,The Tipsy Artichoke,53.37,3.07,13.0,5.0,2023-01-01 21:50:00,2023-01-01 22:17:06.296283384,,8,0.17,False,False,1,6
FN07E,XQ380K8B,Cancelled by Zipline,The Gilded Root,80.99,4.66,15.14,5.0,2023-01-01 21:58:00,2023-01-01 22:51:32.286601260,Weather Downtime,5,0.2,False,False,1,7
VHZTA,TZ9UU5R1,Successful,Marrow,19.86,1.14,4.97,5.0,2023-01-02 08:08:00,2023-01-02 08:18:30.000000000,,5,0.2,False,False,1,1
SIUAZ,50K3TW43,Successful,Salt & Spectacle,29.02,1.67,6.34,5.0,2023-01-02 08:08:00,2023-01-02 08:16:14.612954772,,8,0.2,False,False,1,3
2GRXP,73CJM7KW,Successful,Thistle & Thread,23.0,1.32,8.44,5.0,2023-01-02 08:17:00,2023-01-02 08:28:09.507920400,,7,0.12,False,False,1,1
OTOHP,3SBHU1GK,Successful,Zest,12.32,0.71,6.84,5.0,2023-01-02 08:31:00,2023-01-02 09:18:18.585867660,,5,0.12,False,False,1,2
CJG8V,GNITZTTY,Cancelled by Zipline,The Tipsy Artichoke,62.92,3.62,14.43,5.0,2023-01-02 09:12:00,2023-01-02 09:24:56.491422936,Service Downtime,9,0.17,False,False,1,7
VPIG3,K9M1D0RI,Successful,Zest,12.35,0.71,6.84,5.0,2023-01-02 09:12:00,2023-01-02 09:47:10.684386402,,7,0.12,False,False,1,1
AKW6Z,9TGPR92Q,Cancelled by Zipline,Fork in the Road,6.48,0.37,5.96,5.0,2023-01-02 09:49:00,2023-01-02 10:07:21.468842280,Weather Downtime,8,0.12,True,False,1,1
0HPMN,JILO6S0V,Successful,Zest,10.19,0.59,6.52,5.0,2023-01-02 09:50:00,2023-01-02 09:57:57.800432010,,8,0.12,False,False,1,1
QBEXG,LI41UDTY,Successful,Sage & Stone,8.34,0.48,6.24,5.0,2023-01-02 09:53:00,2023-01-02 10:18:32.501560638,,7,0.2,False,False,1,1
FNCC8,2O201U6K,Successful,Kindle & Cane,22.09,1.27,5.3,5.0,2023-01-02 10:02:00,2023-01-02 10:21:16.113440868,,10,0.17,False,False,1,2
7GGO4,I9ICA6G5,Successful,Aura & Ash,13.04,0.75,3.95,5.0,2023-01-02 10:06:00,2023-01-02 10:16:41.117215704,,7,0.2,False,False,1,1
7Y9PP,S95EEBRL,Successful,Kindle & Cane,18.53,1.07,4.77,5.0,2023-01-02 10:09:00,2023-01-02 10:20:49.078301976,,9,0.17,False,False,1,1
A2LPN,RDX2TXAB,Successful,Vellum,33.91,1.95,7.08,5.0,2023-01-02 10:10:00,2023-01-02 10:19:43.791004926,,9,0.17,False,False,1,4
XL39D,IGHTK3PZ,Successful,The Copper Kettle,16.49,0.95,4.46,5.0,2023-01-02 10:24:00,2023-01-02 10:36:01.964172120,,9,0.12,False,False,1,2
18A2V,ZLQTL1K8,Successful,Zest,9.96,0.57,6.48,5.0,2023-01-02 10:30:00,2023-01-02 10:52:51.379109868,,6,0.12,False,False,1,1
NR06D,XL78FPYA,Successful,Marrow,17.94,1.03,4.68,5.0,2023-01-02 10:35:00,2023-01-02 10:50:41.959158462,,5,0.2,False,False,1,1
HNOL3,VTK2L787,Successful,Obsidian Kitchen,74.81,4.3,14.21,5.0,2023-01-02 10:37:00,2023-01-02 10:54:09.201074886,,9,0.17,False,False,1,7
29M0T,EXSDWC4K,Successful,Zest,7.84,0.45,6.17,5.0,2023-01-02 10:48:00,2023-01-02 11:07:14.324325786,,8,0.12,False,False,1,1
U6VK0,SHUT9Y6U,Successful,Hearthstone House,55.97,3.22,11.39,5.0,2023-01-02 10:50:00,2023-01-02 11:14:00.203578200,,8,0.2,False,True,2,4
WR3S1,25T24RDA,Successful,Brine,25.48,1.47,5.81,5.0,2023-01-02 10:54:00,2023-01-02 11:01:19.884459174,,8,0.2,False,False,1,1
Q7ZJ3,2M3PRESC,Successful,Brine,12.22,0.7,3.82,5.0,2023-01-02 11:10:00,2023-01-02 11:33:54.802469940,,9,0.2,False,False,1,1
UA3AI,Y8A6M968,Successful,Thistle & Thread,21.73,1.25,8.25,5.0,2023-01-02 11:10:00,2023-01-02 11:19:10.945467918,,9,0.12,False,False,1,2
Q7ZJ3,HRN7Q3BE,Successful,Brine,20.44,1.18,3.07,0.0,2023-01-02 11:11:00,2023-01-02 11:23:20.121908970,,9,0.2,False,False,1,3
9KP6A,SNSI81ZZ,Successful,Sage & Stone,8.64,0.5,6.29,5.0,2023-01-02 11:29:00,2023-01-02 11:42:03.892682052,,8,0.2,False,False,2,1
MSYG9,667ZTT7F,Successful,Crust,12.43,0.71,6.85,5.0,2023-01-02 11:30:00,2023-01-02 11:46:11.089962276,,7,0.2,False,False,1,1
M9IQB,K0540SEJ,Successful,Vellum,40.3,2.32,8.03,5.0,2023-01-02 11:33:00,2023-01-02 11:50:15.314174297,,6,0.17,False,False,2,5
2PMB6,F5RXE78D,Successful,Vellum,33.95,1.95,7.08,5.0,2023-01-02 11:40:00,2023-01-02 12:03:10.295757972,,8,0.17,False,False,1,3
6K4O6,U4CBL0Q4,Successful,Obsidian Kitchen,51.74,2.98,10.75,5.0,2023-01-02 11:54:00,2023-01-02 12:08:04.248380376,,10,0.17,False,False,1,5
TOOWT,CT2S5I0U,Successful,Sage & Stone,7.11,0.41,6.06,5.0,2023-01-02 12:08:00,2023-01-02 12:16:56.976880452,,9,0.2,False,False,1,1
2E186,U4R799EI,Successful,Sage & Stone,10.36,0.6,6.54,5.0,2023-01-02 12:10:00,2023-01-02 12:38:19.143582882,,6,0.2,False,False,1,1
JWS1Z,IAZNXKGS,Successful,Marrow,19.39,1.11,4.9,5.0,2023-01-02 12:11:00,2023-01-02 12:31:11.113281138,,5,0.2,False,False,1,2
IXLBO,2GYZOYJM,Successful,Kindle & Cane,19.63,1.13,4.93,5.0,2023-01-02 12:13:00,2023-01-02 12:27:59.532166380,,7,0.17,False,False,1,1
L3SOJ,94EVNVMM,Successful,Brine,18.01,1.04,4.69,0.0,2023-01-02 12:16:00,2023-01-02 12:25:58.211484180,,9,0.2,False,False,1,1
G895N,P2ODHJAQ,Cancelled by Merchant,Brine,17.66,1.02,4.64,5.0,2023-01-02 12:20:00,2023-01-02 12:30:40.038200052,Weather Downtime,8,0.2,False,False,1,2
L0UW6,22SWTBMD,Successful,Obsidian Kitchen,55.32,3.18,11.29,5.0,2023-01-02 12:30:00,2023-01-02 13:03:49.537847514,,5,0.17,False,False,1,4
F74RQ,FTGQP2EC,Successful,Vellum,22.61,1.3,5.38,0.0,2023-01-02 12:38:00,2023-01-02 12:46:16.113050897,,9,0.17,False,False,1,3
BKUU5,QQXT7JO0,Successful,Marrow,24.15,1.39,5.61,5.0,2023-01-02 12:40:00,2023-01-02 12:53:21.260380680,,6,0.2,False,False,1,2
WFAPG,3A9MBVT0,Successful,The Copper Kettle,16.95,0.97,4.53,5.0,2023-01-02 12:49:00,2023-01-02 13:02:03.062049576,,9,0.12,False,False,1,2
HWHG0,BTT3RWGO,Successful,Noodle Theory,56.23,3.23,10.42,5.0,2023-01-02 12:54:00,2023-01-02 13:22:55.211046612,,5,0.17,False,False,1,6
